Series_Title,Overview,concatenated_text
Hidden Figures,The story of a team of female AfricanAmerican mathematicians who served a vital role in NASA during the early years of the US space program,Hidden Figures The story of a team of female AfricanAmerican mathematicians who served a vital role in NASA during the early years of the US space program
Paddington,Paddington Ben Whishaw now happily settled with the Brown family and a popular member of the local community picks up a series of odd jobs to buy the perfect present for his Aunt Lucys Imelda Stauntons th birthday only for the gift to be stolen,Paddington Paddington Ben Whishaw now happily settled with the Brown family and a popular member of the local community picks up a series of odd jobs to buy the perfect present for his Aunt Lucys Imelda Stauntons th birthday only for the gift to be stolen
Udta Punjab,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it enmasse resulting in a socioeconomic decline,Udta Punjab A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it enmasse resulting in a socioeconomic decline
Kubo and the Two Strings,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past,Kubo and the Two Strings A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past
MS Dhoni The Untold Story,The untold story of Mahendra Singh Dhonis journey from ticket collector to trophy collector the worldcupwinning captain of the Indian Cricket Team,MS Dhoni The Untold Story The untold story of Mahendra Singh Dhonis journey from ticket collector to trophy collector the worldcupwinning captain of the Indian Cricket Team
Manchester by the Sea,A depressed uncle is asked to take care of his teenage nephew after the boys father dies,Manchester by the Sea A depressed uncle is asked to take care of his teenage nephew after the boys father dies
Under sandet,In postWorld War II Denmark a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight,Under sandet In postWorld War II Denmark a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight
Rogue One,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star,Rogue One The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star
Captain America Civil War,Political involvement in the Avengers affairs causes a rift between Captain America and Iron Man,Captain America Civil War Political involvement in the Avengers affairs causes a rift between Captain America and Iron Man
The Hateful Eight,In the dead of a Wyoming winter a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters,The Hateful Eight In the dead of a Wyoming winter a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters
Little Women,Jo March reflects back and forth on her life telling the beloved story of the March sisters four young women each determined to live life on her own terms,Little Women Jo March reflects back and forth on her life telling the beloved story of the March sisters four young women each determined to live life on her own terms
Loving Vincent,In a story depicted in oil painted animation a young man comes to the last hometown of painter Vincent van Gogh Robert Gulaczyk to deliver the troubled artists final letter and ends up investigating his final days there,Loving Vincent In a story depicted in oil painted animation a young man comes to the last hometown of painter Vincent van Gogh Robert Gulaczyk to deliver the troubled artists final letter and ends up investigating his final days there
